epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,34489.4,0.60532,0.40183,0.98397,0.98155,0.94954,0.97728,0.68299,0.89779,0.48031,0.97215,0.00043325,0.00043325,0.00043325
68,35003.1,0.60384,0.39764,0.97938,0.96973,0.94671,0.97979,0.68387,0.90652,0.46184,0.98943,0.000420875,0.000420875,0.000420875
69,35516.6,0.60839,0.40082,0.97958,0.97934,0.95758,0.97846,0.68835,0.88954,0.43257,0.96208,0.0004085,0.0004085,0.0004085
70,36029.8,0.59543,0.39222,0.97345,0.98015,0.9487,0.9744,0.68771,0.88949,0.4195,0.96433,0.000396125,0.000396125,0.000396125
71,36543,0.60232,0.39136,0.97888,0.97486,0.95541,0.9788,0.69879,0.88366,0.43655,0.9542,0.00038375,0.00038375,0.00038375
72,37056.6,0.59359,0.38556,0.97149,0.97834,0.95762,0.97907,0.68556,0.92616,0.43903,0.97117,0.000371375,0.000371375,0.000371375
73,37571,0.59407,0.38935,0.97639,0.97446,0.96196,0.98024,0.69315,0.88781,0.44084,0.96835,0.000359,0.000359,0.000359
74,38086.2,0.58777,0.38595,0.97357,0.97655,0.95789,0.98079,0.69636,0.88488,0.45913,0.9711,0.000346625,0.000346625,0.000346625
75,38602,0.58703,0.38442,0.97189,0.97813,0.95026,0.9799,0.70326,0.87926,0.42771,0.97052,0.00033425,0.00033425,0.00033425
76,39117.4,0.5911,0.38592,0.9755,0.97528,0.9521,0.98009,0.6923,0.87462,0.4137,0.95158,0.000321875,0.000321875,0.000321875
77,39632.7,0.58213,0.38003,0.97144,0.97549,0.95117,0.97652,0.69521,0.87601,0.45846,0.95815,0.0003095,0.0003095,0.0003095
78,40147.8,0.58274,0.37736,0.97181,0.97664,0.95627,0.98104,0.69731,0.89946,0.43427,0.95905,0.000297125,0.000297125,0.000297125
79,40662.9,0.57726,0.37289,0.97242,0.97443,0.95579,0.98187,0.69884,0.86734,0.4425,0.96229,0.00028475,0.00028475,0.00028475
80,41178,0.57564,0.37409,0.97239,0.98086,0.95333,0.98086,0.70577,0.85793,0.39996,0.94319,0.000272375,0.000272375,0.000272375
81,41693.1,0.56923,0.36938,0.96743,0.98355,0.95296,0.9807,0.70164,0.8525,0.41755,0.94331,0.00026,0.00026,0.00026
82,42208.3,0.57015,0.36776,0.96547,0.96603,0.96079,0.98014,0.7012,0.87946,0.41569,0.94985,0.000247625,0.000247625,0.000247625
83,42723.3,0.56662,0.36727,0.96507,0.98291,0.95194,0.98054,0.703,0.88121,0.40835,0.95426,0.00023525,0.00023525,0.00023525
84,43238.4,0.56701,0.36574,0.96687,0.98244,0.95614,0.98184,0.69774,0.8821,0.39343,0.94938,0.000222875,0.000222875,0.000222875
85,43753.5,0.5625,0.36135,0.96282,0.97693,0.95776,0.98142,0.70188,0.86347,0.39615,0.95515,0.0002105,0.0002105,0.0002105
86,44268.7,0.56124,0.36233,0.96553,0.96808,0.95965,0.9813,0.70452,0.86608,0.40644,0.9525,0.000198125,0.000198125,0.000198125
87,44784.1,0.55891,0.36085,0.96271,0.97597,0.9566,0.98164,0.69925,0.87238,0.41412,0.95666,0.00018575,0.00018575,0.00018575
88,45299.7,0.54984,0.35637,0.95782,0.97445,0.96226,0.98022,0.69685,0.87967,0.41792,0.96309,0.000173375,0.000173375,0.000173375
89,45815.3,0.55084,0.35731,0.95767,0.97714,0.96242,0.9797,0.70223,0.85556,0.39677,0.94865,0.000161,0.000161,0.000161
90,46331.1,0.54824,0.35612,0.95621,0.9785,0.95831,0.98232,0.70672,0.86741,0.39301,0.95442,0.000148625,0.000148625,0.000148625
91,46867.6,0.54266,0.32169,0.94221,0.96983,0.95682,0.98208,0.70174,0.85195,0.40651,0.94089,0.00013625,0.00013625,0.00013625
92,47382.8,0.5356,0.31885,0.93913,0.97066,0.95667,0.98061,0.70356,0.86107,0.41794,0.94849,0.000123875,0.000123875,0.000123875
93,47897.6,0.52903,0.31477,0.9385,0.98184,0.95278,0.97938,0.70703,0.85673,0.41808,0.94817,0.0001115,0.0001115,0.0001115
94,48412.4,0.52567,0.31141,0.93536,0.98242,0.95834,0.98094,0.70581,0.85619,0.4141,0.94969,9.9125e-05,9.9125e-05,9.9125e-05
95,48927.2,0.52492,0.31019,0.93636,0.97283,0.96056,0.9809,0.70841,0.85557,0.42761,0.9495,8.675e-05,8.675e-05,8.675e-05
96,49441.8,0.51882,0.30678,0.93442,0.97619,0.95999,0.9812,0.71191,0.85357,0.41359,0.95018,7.4375e-05,7.4375e-05,7.4375e-05
97,49956.5,0.51728,0.30662,0.93419,0.97912,0.95472,0.98096,0.70911,0.85895,0.42125,0.95349,6.2e-05,6.2e-05,6.2e-05
98,50471.5,0.51488,0.30538,0.9317,0.9779,0.95773,0.98118,0.70937,0.85878,0.42065,0.9486,4.9625e-05,4.9625e-05,4.9625e-05
99,50986.3,0.51044,0.30192,0.9318,0.9781,0.95614,0.98124,0.70713,0.85066,0.40731,0.95035,3.725e-05,3.725e-05,3.725e-05
100,51500.6,0.50615,0.30013,0.92989,0.9799,0.95589,0.98144,0.70573,0.8451,0.39947,0.94758,2.4875e-05,2.4875e-05,2.4875e-05
