epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,12048.9,0.59137,0.39973,0.96858,0.95628,0.9023,0.94399,0.75718,0.70314,0.40393,0.87861,0.0006065,0.0006065,0.0006065
80,12205.1,0.5967,0.40174,0.96909,0.95564,0.90812,0.94732,0.7536,0.70617,0.40363,0.87425,0.00059825,0.00059825,0.00059825
81,12358,0.58488,0.39499,0.96479,0.95914,0.9093,0.94797,0.76188,0.69853,0.40044,0.8653,0.00059,0.00059,0.00059
82,12511.5,0.58698,0.38905,0.96531,0.95686,0.9032,0.94523,0.75703,0.69753,0.39499,0.87262,0.00058175,0.00058175,0.00058175
83,12663.6,0.58195,0.39347,0.96782,0.96004,0.90228,0.94333,0.75914,0.70418,0.40489,0.89395,0.0005735,0.0005735,0.0005735
84,12816.8,0.57528,0.39084,0.96314,0.96099,0.90818,0.94632,0.75796,0.6926,0.39779,0.87763,0.00056525,0.00056525,0.00056525
85,12966.2,0.58163,0.39203,0.9651,0.95204,0.91323,0.94747,0.75831,0.69804,0.40015,0.87704,0.000557,0.000557,0.000557
86,13115.4,0.57595,0.38808,0.96559,0.95618,0.90315,0.94309,0.75609,0.7027,0.40306,0.88408,0.00054875,0.00054875,0.00054875
87,13269.2,0.58194,0.39173,0.96746,0.95531,0.90547,0.94751,0.76346,0.69345,0.39825,0.87727,0.0005405,0.0005405,0.0005405
88,13423.8,0.5694,0.38315,0.96048,0.9638,0.89778,0.94479,0.76191,0.69399,0.39034,0.86715,0.00053225,0.00053225,0.00053225
89,13578,0.57414,0.38096,0.96238,0.95087,0.90921,0.94567,0.76191,0.68714,0.3979,0.87114,0.000524,0.000524,0.000524
90,13732.1,0.57339,0.38369,0.96273,0.95952,0.90662,0.94512,0.76518,0.68568,0.38677,0.86278,0.00051575,0.00051575,0.00051575
91,13882.5,0.56657,0.37776,0.95587,0.95447,0.90936,0.94615,0.76216,0.70607,0.40217,0.88819,0.0005075,0.0005075,0.0005075
92,14036.3,0.571,0.38507,0.96356,0.95547,0.90828,0.9458,0.76134,0.70475,0.39943,0.88058,0.00049925,0.00049925,0.00049925
93,14190,0.56834,0.37978,0.9556,0.95717,0.90144,0.94454,0.76437,0.69063,0.39631,0.87406,0.000491,0.000491,0.000491
94,14341.9,0.56632,0.37812,0.95897,0.96076,0.9072,0.9473,0.76255,0.69143,0.38173,0.85794,0.00048275,0.00048275,0.00048275
